iter	Passed	Remaining
972	6029	3265
973	6034	3259
974	6040	3252
975	6046	3246
976	6051	3239
977	6057	3233
978	6063	3226
979	6069	3220
980	6075	3214
981	6080	3207
982	6086	3201
983	6092	3194
984	6097	3188
985	6103	3181
986	6109	3175
987	6115	3168
988	6120	3162
989	6126	3156
990	6132	3149
991	6138	3143
992	6144	3137
993	6150	3130
994	6155	3124
995	6161	3118
996	6167	3111
997	6173	3105
998	6179	3098
999	6185	3092
1000	6191	3086
1001	6197	3080
1002	6203	3073
1003	6209	3067
1004	6215	3061
1005	6222	3055
1006	6228	3049
1007	6234	3042
1008	6240	3036
1009	6246	3030
1010	6252	3024
1011	6259	3018
1012	6265	3012
1013	6271	3006
1014	6277	2999
1015	6285	2994
1016	6292	2988
1017	6299	2982
1018	6306	2976
1019	6312	2970
1020	6318	2964
1021	6324	2958
1022	6331	2952
1023	6337	2946
1024	6344	2940
1025	6350	2933
1026	6356	2927
1027	6363	2921
1028	6369	2915
1029	6376	2909
1030	6381	2903
1031	6388	2896
1032	6394	2890
1033	6400	2884
1034	6406	2878
1035	6416	2873
1036	6427	2869
1037	6438	2865
1038	6450	2862
1039	6462	2858
1040	6473	2854
1041	6484	2850
1042	6496	2846
1043	6507	2842
1044	6513	2836
1045	6519	2829
1046	6525	2823
1047	6531	2817
1048	6538	2811
1049	6543	2804
1050	6549	2798
1051	6555	2791
1052	6561	2785
1053	6567	2778
1054	6572	2772
1055	6578	2766
1056	6584	2759
1057	6590	2753
1058	6596	2746
1059	6602	2740
1060	6607	2734
1061	6613	2727
1062	6619	2721
1063	6625	2714
1064	6630	2708
1065	6636	2701
1066	6642	2695
1067	6647	2689
1068	6653	2682
1069	6659	2676
1070	6665	2670
1071	6671	2663
1072	6677	2657
1073	6683	2651
1074	6690	2645
1075	6697	2638
1076	6703	2632
1077	6709	2626
1078	6715	2620
1079	6721	2613
1080	6727	2607
1081	6732	2601
1082	6738	2594
1083	6744	2588
1084	6750	2581
1085	6756	2575
1086	6761	2569
1087	6767	2562
1088	6774	2556
1089	6780	2550
1090	6786	2544
1091	6792	2537
1092	6798	2531
1093	6803	2525
1094	6809	2518
1095	6815	2512
1096	6821	2505
1097	6827	2499
1098	6832	2493
1099	6838	2486
1100	6844	2480
1101	6850	2474
1102	6856	2467
1103	6862	2461
1104	6868	2455
1105	6873	2448
1106	6879	2442
1107	6885	2436
1108	6891	2429
1109	6897	2423
1110	6903	2417
1111	6908	2410
1112	6914	2404
1113	6920	2397
1114	6927	2391
1115	6938	2387
1116	6949	2383
1117	6961	2378
1118	6966	2372
1119	6972	2365
1120	6980	2360
1121	6991	2355
1122	7002	2350
1123	7015	2346
1124	7026	2342
1125	7032	2335
1126	7038	2329
1127	7044	2323
1128	7050	2316
1129	7056	2310
1130	7061	2304
1131	7067	2297
1132	7073	2291
1133	7079	2284
1134	7085	2278
1135	7090	2272
1136	7096	2265
1137	7102	2259
1138	7107	2252
1139	7113	2246
1140	7119	2239
1141	7125	2233
1142	7130	2227
1143	7136	2220
1144	7142	2214
1145	7148	2208
1146	7154	2201
1147	7159	2195
1148	7165	2188
1149	7171	2182
1150	7178	2176
1151	7184	2170
1152	7190	2164
1153	7197	2157
1154	7203	2151
1155	7209	2145
1156	7214	2138
1157	7220	2132
1158	7226	2126
1159	7232	2119
1160	7237	2113
1161	7243	2107
1162	7249	2100
1163	7256	2094
1164	7262	2088
1165	7269	2082
1166	7275	2076
1167	7282	2069
1168	7288	2063
1169	7293	2057
1170	7299	2050
1171	7305	2044
1172	7311	2038
1173	7317	2031
1174	7323	2025
1175	7329	2019
1176	7334	2012
1177	7340	2006
1178	7346	2000
1179	7352	1993
1180	7358	1987
1181	7363	1981
1182	7369	1974
1183	7375	1968
1184	7380	1962
1185	7386	1955
1186	7392	1949
1187	7397	1942
1188	7403	1936
1189	7409	1930
1190	7415	1923
1191	7421	1917
1192	7426	1911
1193	7432	1904
1194	7438	1898
1195	7443	1892
1196	7449	1885
1197	7455	1879
1198	7461	1873
1199	7466	1866
1200	7472	1860
1201	7478	1854
1202	7483	1847
1203	7489	1841
1204	7495	1834
1205	7500	1828
1206	7506	1822
1207	7512	1815
1208	7518	1809
1209	7523	1803
1210	7530	1797
1211	7535	1790
1212	7541	1784
1213	7547	1778
1214	7553	1771
1215	7559	1765
1216	7564	1759
1217	7570	1752
1218	7576	1746
1219	7582	1740
1220	7587	1733
1221	7593	1727
1222	7599	1721
1223	7605	1714
1224	7611	1708
1225	7616	1702
1226	7622	1695
1227	7628	1689
1228	7634	1683
1229	7640	1677
1230	7646	1670
1231	7651	1664
1232	7657	1658
1233	7663	1651
1234	7669	1645
1235	7674	1639
1236	7680	1633
1237	7686	1626
1238	7692	1620
1239	7698	1614
1240	7704	1607
1241	7710	1601
1242	7717	1595
1243	7723	1589
1244	7730	1583
1245	7736	1577
1246	7742	1570
1247	7749	1564
1248	7755	1558
1249	7761	1552
1250	7768	1546
1251	7774	1540
1252	7781	1533
1253	7787	1527
1254	7793	1521
1255	7799	1515
1256	7805	1508
1257	7810	1502
1258	7816	1496
